GD Note,TYPE,TITLE,DESCRIPTION,LATITUDE,LONGITUDE,DELAY,EXTERNALID,UUID,,Desired Altitude,Alert on Map Screen,AR Marker,Coordinates for maps,AREA,CODE,INCIDENT_ID,PRIORITY
Tree Encroachment reported in Industrial,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52109749,-122.32402014,78,UTIL833,,,50 ft,YES,YES,"37.52109749, -122.32402014",Industrial,UTIL,UTIL833,Low
Transformer Explosion reported in Rural,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.5259398,-122.33639504,39,UTIL834,,,50 ft,YES,YES,"37.5259398, -122.33639504",Rural,UTIL,UTIL834,Medium
Fuse Blown reported in Uptown,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53480131,-122.32835766,167,UTIL835,,,50 ft,YES,YES,"37.53480131, -122.32835766",Uptown,UTIL,UTIL835,Medium
Tree Encroachment reported in Suburban,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52208693,-122.32998575,95,UTIL836,,,50 ft,YES,YES,"37.52208693, -122.32998575",Suburban,UTIL,UTIL836,Critical
Substation Fire reported in Uptown,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.5326168,-122.32731393,165,UTIL837,,,50 ft,YES,YES,"37.5326168, -122.32731393",Uptown,UTIL,UTIL837,Low
Meter Inspection reported in Suburban,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53791171,-122.33427424,165,UTIL838,,,50 ft,YES,YES,"37.53791171, -122.33427424",Suburban,UTIL,UTIL838,Medium
Tree Encroachment reported in Suburban,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52047672,-122.33350673,189,UTIL839,,,50 ft,YES,YES,"37.52047672, -122.33350673",Suburban,UTIL,UTIL839,Low
Cable Fault reported in Seaside,INCIDENT,Cable Fault,Underground cable suspected fault,37.52930423,-122.32956904,170,UTIL840,,,50 ft,YES,YES,"37.52930423, -122.32956904",Seaside,UTIL,UTIL840,Low
Transformer Explosion reported in Central,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.53409888,-122.3295707,93,UTIL841,,,50 ft,YES,YES,"37.53409888, -122.3295707",Central,UTIL,UTIL841,Critical
Tree Encroachment reported in Downtown,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52138347,-122.3268445,191,UTIL842,,,50 ft,YES,YES,"37.52138347, -122.3268445",Downtown,UTIL,UTIL842,Critical
Gas Leak reported in Uptown,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.523259,-122.33050244,105,UTIL843,,,50 ft,YES,YES,"37.523259, -122.33050244",Uptown,UTIL,UTIL843,Low
Meter Inspection reported in Industrial,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53178502,-122.32806052,116,UTIL844,,,50 ft,YES,YES,"37.53178502, -122.32806052",Industrial,UTIL,UTIL844,Low
Voltage Irregularity reported in Rural,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52580894,-122.32402191,112,UTIL845,,,50 ft,YES,YES,"37.52580894, -122.32402191",Rural,UTIL,UTIL845,Low
Tree Encroachment reported in Rural,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52112927,-122.32882226,96,UTIL846,,,50 ft,YES,YES,"37.52112927, -122.32882226",Rural,UTIL,UTIL846,Medium
Tree Encroachment reported in Uptown,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.53136218,-122.32200007,153,UTIL847,,,50 ft,YES,YES,"37.53136218, -122.32200007",Uptown,UTIL,UTIL847,Critical
Switch Malfunction reported in Rural,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53544213,-122.32489736,21,UTIL848,,,50 ft,YES,YES,"37.53544213, -122.32489736",Rural,UTIL,UTIL848,Low
Cable Fault reported in Suburban,INCIDENT,Cable Fault,Underground cable suspected fault,37.53993293,-122.33299756,133,UTIL849,,,50 ft,YES,YES,"37.53993293, -122.33299756",Suburban,UTIL,UTIL849,Critical
Substation Fire reported in Suburban,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52019738,-122.32486343,108,UTIL850,,,50 ft,YES,YES,"37.52019738, -122.32486343",Suburban,UTIL,UTIL850,Medium
Downed Power Line reported in Central,INCIDENT,Downed Power Line,Live wire reported on the ground,37.5382986,-122.32538887,133,UTIL851,,,50 ft,YES,YES,"37.5382986, -122.32538887",Central,UTIL,UTIL851,High
Routine Inspection reported in Suburban,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52762113,-122.33035492,148,UTIL852,,,50 ft,YES,YES,"37.52762113, -122.33035492",Suburban,UTIL,UTIL852,Low
Routine Inspection reported in Industrial,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53050943,-122.32823554,188,UTIL853,,,50 ft,YES,YES,"37.53050943, -122.32823554",Industrial,UTIL,UTIL853,Low
Switch Malfunction reported in Industrial,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52005024,-122.32801892,104,UTIL854,,,50 ft,YES,YES,"37.52005024, -122.32801892",Industrial,UTIL,UTIL854,Medium
Car Hit Pole reported in Suburban,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.53135483,-122.33175889,183,UTIL855,,,50 ft,YES,YES,"37.53135483, -122.33175889",Suburban,UTIL,UTIL855,Critical
Transformer Explosion reported in Seaside,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.52842822,-122.33607958,68,UTIL856,,,50 ft,YES,YES,"37.52842822, -122.33607958",Seaside,UTIL,UTIL856,Medium
Meter Inspection reported in Industrial,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53066503,-122.33133307,104,UTIL857,,,50 ft,YES,YES,"37.53066503, -122.33133307",Industrial,UTIL,UTIL857,Low
Transformer Failure reported in Industrial,INCIDENT,Transformer Failure,Multiple customers without power,37.53597851,-122.32452563,125,UTIL858,,,50 ft,YES,YES,"37.53597851, -122.32452563",Industrial,UTIL,UTIL858,Low
Tree Encroachment reported in Rural,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52678326,-122.3250175,78,UTIL859,,,50 ft,YES,YES,"37.52678326, -122.3250175",Rural,UTIL,UTIL859,Low
Cable Fault reported in Central,INCIDENT,Cable Fault,Underground cable suspected fault,37.53495734,-122.32608531,132,UTIL860,,,50 ft,YES,YES,"37.53495734, -122.32608531",Central,UTIL,UTIL860,High
Transformer Explosion reported in Suburban,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.5278612,-122.33738494,34,UTIL861,,,50 ft,YES,YES,"37.5278612, -122.33738494",Suburban,UTIL,UTIL861,Critical
Switch Malfunction reported in Central,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52069673,-122.32680701,25,UTIL862,,,50 ft,YES,YES,"37.52069673, -122.32680701",Central,UTIL,UTIL862,Low
Gas Leak reported in Uptown,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52433623,-122.32931231,87,UTIL863,,,50 ft,YES,YES,"37.52433623, -122.32931231",Uptown,UTIL,UTIL863,Low
Voltage Irregularity reported in Uptown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53336803,-122.33853431,49,UTIL864,,,50 ft,YES,YES,"37.53336803, -122.33853431",Uptown,UTIL,UTIL864,High
Breaker Operation reported in Uptown,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.53287485,-122.33914796,178,UTIL865,,,50 ft,YES,YES,"37.53287485, -122.33914796",Uptown,UTIL,UTIL865,Critical
Fuse Blown reported in Suburban,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.52140069,-122.32850622,40,UTIL866,,,50 ft,YES,YES,"37.52140069, -122.32850622",Suburban,UTIL,UTIL866,High
Low Wire reported in Uptown,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53409967,-122.33700227,21,UTIL867,,,50 ft,YES,YES,"37.53409967, -122.33700227",Uptown,UTIL,UTIL867,Critical
Substation Fire reported in Uptown,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.53728352,-122.32111782,172,UTIL868,,,50 ft,YES,YES,"37.53728352, -122.32111782",Uptown,UTIL,UTIL868,Low
Car Hit Pole reported in Industrial,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52746871,-122.33916859,112,UTIL869,,,50 ft,YES,YES,"37.52746871, -122.33916859",Industrial,UTIL,UTIL869,Critical
Switch Malfunction reported in Seaside,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52335231,-122.32087638,122,UTIL870,,,50 ft,YES,YES,"37.52335231, -122.32087638",Seaside,UTIL,UTIL870,High
Switch Malfunction reported in Seaside,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53031661,-122.33371276,195,UTIL871,,,50 ft,YES,YES,"37.53031661, -122.33371276",Seaside,UTIL,UTIL871,Low
Leaning Pole reported in Industrial,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53542558,-122.32321011,153,UTIL872,,,50 ft,YES,YES,"37.53542558, -122.32321011",Industrial,UTIL,UTIL872,High
Meter Inspection reported in Seaside,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53834137,-122.33101297,63,UTIL873,,,50 ft,YES,YES,"37.53834137, -122.33101297",Seaside,UTIL,UTIL873,Critical
Cable Fault reported in Industrial,INCIDENT,Cable Fault,Underground cable suspected fault,37.5300665,-122.32104458,193,UTIL874,,,50 ft,YES,YES,"37.5300665, -122.32104458",Industrial,UTIL,UTIL874,Critical
Switch Malfunction reported in Seaside,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53070582,-122.32029605,29,UTIL875,,,50 ft,YES,YES,"37.53070582, -122.32029605",Seaside,UTIL,UTIL875,Medium
Routine Inspection reported in Downtown,INCIDENT,Routine Inspection,Scheduled maintenance check,37.5351302,-122.32435825,96,UTIL876,,,50 ft,YES,YES,"37.5351302, -122.32435825",Downtown,UTIL,UTIL876,High
Tree Encroachment reported in Industrial,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52628065,-122.33043697,162,UTIL877,,,50 ft,YES,YES,"37.52628065, -122.33043697",Industrial,UTIL,UTIL877,High
Downed Power Line reported in Suburban,INCIDENT,Downed Power Line,Live wire reported on the ground,37.52437068,-122.33322853,48,UTIL878,,,50 ft,YES,YES,"37.52437068, -122.33322853",Suburban,UTIL,UTIL878,Critical
Car Hit Pole reported in Suburban,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52003098,-122.32833075,176,UTIL879,,,50 ft,YES,YES,"37.52003098, -122.32833075",Suburban,UTIL,UTIL879,Low
Cable Fault reported in Rural,INCIDENT,Cable Fault,Underground cable suspected fault,37.52235092,-122.32976499,126,UTIL880,,,50 ft,YES,YES,"37.52235092, -122.32976499",Rural,UTIL,UTIL880,High
Substation Fire reported in Rural,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.53468507,-122.32605495,25,UTIL881,,,50 ft,YES,YES,"37.53468507, -122.32605495",Rural,UTIL,UTIL881,High
Voltage Irregularity reported in Rural,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53050334,-122.33474444,76,UTIL882,,,50 ft,YES,YES,"37.53050334, -122.33474444",Rural,UTIL,UTIL882,High
Switch Malfunction reported in Downtown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52301921,-122.33912013,3,UTIL883,,,50 ft,YES,YES,"37.52301921, -122.33912013",Downtown,UTIL,UTIL883,Critical
Storm Damage reported in Industrial,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.52206627,-122.32146495,59,UTIL884,,,50 ft,YES,YES,"37.52206627, -122.32146495",Industrial,UTIL,UTIL884,Critical
Substation Fire reported in Rural,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.53859358,-122.32197436,77,UTIL885,,,50 ft,YES,YES,"37.53859358, -122.32197436",Rural,UTIL,UTIL885,Critical
Tree Encroachment reported in Uptown,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52095979,-122.33326815,127,UTIL886,,,50 ft,YES,YES,"37.52095979, -122.33326815",Uptown,UTIL,UTIL886,Critical
Equipment Failure reported in Suburban,INCIDENT,Equipment Failure,Component failure at distribution station,37.53018696,-122.33275003,153,UTIL887,,,50 ft,YES,YES,"37.53018696, -122.33275003",Suburban,UTIL,UTIL887,Medium
Voltage Irregularity reported in Suburban,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53911341,-122.32608226,58,UTIL888,,,50 ft,YES,YES,"37.53911341, -122.32608226",Suburban,UTIL,UTIL888,Critical
Gas Leak reported in Industrial,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52518642,-122.32176963,51,UTIL889,,,50 ft,YES,YES,"37.52518642, -122.32176963",Industrial,UTIL,UTIL889,Medium
Switch Malfunction reported in Uptown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53248291,-122.32724533,13,UTIL890,,,50 ft,YES,YES,"37.53248291, -122.32724533",Uptown,UTIL,UTIL890,Low
Gas Leak reported in Rural,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52623327,-122.33818315,14,UTIL891,,,50 ft,YES,YES,"37.52623327, -122.33818315",Rural,UTIL,UTIL891,Critical
Gas Leak reported in Rural,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53035577,-122.3246093,138,UTIL892,,,50 ft,YES,YES,"37.53035577, -122.3246093",Rural,UTIL,UTIL892,Medium
Leaning Pole reported in Central,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53177973,-122.32427239,105,UTIL893,,,50 ft,YES,YES,"37.53177973, -122.32427239",Central,UTIL,UTIL893,Critical
Transformer Explosion reported in Suburban,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.53910819,-122.33989356,148,UTIL894,,,50 ft,YES,YES,"37.53910819, -122.33989356",Suburban,UTIL,UTIL894,Critical
Substation Fire reported in Downtown,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52602695,-122.32130935,172,UTIL895,,,50 ft,YES,YES,"37.52602695, -122.32130935",Downtown,UTIL,UTIL895,Critical
Substation Fire reported in Uptown,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.53957561,-122.32661917,115,UTIL896,,,50 ft,YES,YES,"37.53957561, -122.32661917",Uptown,UTIL,UTIL896,Critical
Low Wire reported in Suburban,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52361392,-122.33684909,197,UTIL897,,,50 ft,YES,YES,"37.52361392, -122.33684909",Suburban,UTIL,UTIL897,Critical
Tree Encroachment reported in Uptown,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.53191932,-122.33343572,39,UTIL898,,,50 ft,YES,YES,"37.53191932, -122.33343572",Uptown,UTIL,UTIL898,Medium
Breaker Operation reported in Downtown,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.53058081,-122.33002567,130,UTIL899,,,50 ft,YES,YES,"37.53058081, -122.33002567",Downtown,UTIL,UTIL899,High
Car Hit Pole reported in Downtown,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.53096083,-122.32243955,88,UTIL900,,,50 ft,YES,YES,"37.53096083, -122.32243955",Downtown,UTIL,UTIL900,Medium
Substation Fire reported in Seaside,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.5208356,-122.32459196,161,UTIL901,,,50 ft,YES,YES,"37.5208356, -122.32459196",Seaside,UTIL,UTIL901,Medium
Voltage Irregularity reported in Rural,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52797214,-122.33344323,94,UTIL902,,,50 ft,YES,YES,"37.52797214, -122.33344323",Rural,UTIL,UTIL902,Low
Routine Inspection reported in Seaside,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53771208,-122.32960709,191,UTIL903,,,50 ft,YES,YES,"37.53771208, -122.32960709",Seaside,UTIL,UTIL903,Critical
Gas Leak reported in Industrial,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52888768,-122.33764431,3,UTIL904,,,50 ft,YES,YES,"37.52888768, -122.33764431",Industrial,UTIL,UTIL904,Critical
Equipment Failure reported in Industrial,INCIDENT,Equipment Failure,Component failure at distribution station,37.52474669,-122.3211254,40,UTIL905,,,50 ft,YES,YES,"37.52474669, -122.3211254",Industrial,UTIL,UTIL905,High
Cable Fault reported in Central,INCIDENT,Cable Fault,Underground cable suspected fault,37.52468177,-122.33994723,107,UTIL906,,,50 ft,YES,YES,"37.52468177, -122.33994723",Central,UTIL,UTIL906,Medium
Fuse Blown reported in Industrial,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53472003,-122.32542167,10,UTIL907,,,50 ft,YES,YES,"37.53472003, -122.32542167",Industrial,UTIL,UTIL907,Low
Voltage Irregularity reported in Uptown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53939651,-122.33100587,122,UTIL908,,,50 ft,YES,YES,"37.53939651, -122.33100587",Uptown,UTIL,UTIL908,Medium
Transformer Failure reported in Rural,INCIDENT,Transformer Failure,Multiple customers without power,37.53504238,-122.32794853,145,UTIL909,,,50 ft,YES,YES,"37.53504238, -122.32794853",Rural,UTIL,UTIL909,Medium
Transformer Explosion reported in Seaside,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.52659571,-122.32403292,160,UTIL910,,,50 ft,YES,YES,"37.52659571, -122.32403292",Seaside,UTIL,UTIL910,Medium
Meter Inspection reported in Central,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53505855,-122.32725899,38,UTIL911,,,50 ft,YES,YES,"37.53505855, -122.32725899",Central,UTIL,UTIL911,Medium
Routine Inspection reported in Seaside,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52851599,-122.33653725,200,UTIL912,,,50 ft,YES,YES,"37.52851599, -122.33653725",Seaside,UTIL,UTIL912,Medium
Routine Inspection reported in Industrial,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52673866,-122.32520276,38,UTIL913,,,50 ft,YES,YES,"37.52673866, -122.32520276",Industrial,UTIL,UTIL913,Medium
Gas Leak reported in Uptown,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53670542,-122.33481732,140,UTIL914,,,50 ft,YES,YES,"37.53670542, -122.33481732",Uptown,UTIL,UTIL914,Critical
Car Hit Pole reported in Seaside,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52859056,-122.32590815,20,UTIL915,,,50 ft,YES,YES,"37.52859056, -122.32590815",Seaside,UTIL,UTIL915,Low
Downed Power Line reported in Seaside,INCIDENT,Downed Power Line,Live wire reported on the ground,37.53209472,-122.32888717,128,UTIL916,,,50 ft,YES,YES,"37.53209472, -122.32888717",Seaside,UTIL,UTIL916,Medium
Car Hit Pole reported in Suburban,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52134643,-122.33152865,43,UTIL917,,,50 ft,YES,YES,"37.52134643, -122.33152865",Suburban,UTIL,UTIL917,Low
Cable Fault reported in Central,INCIDENT,Cable Fault,Underground cable suspected fault,37.53404299,-122.3214733,134,UTIL918,,,50 ft,YES,YES,"37.53404299, -122.3214733",Central,UTIL,UTIL918,Low
Voltage Irregularity reported in Central,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52011216,-122.33325053,111,UTIL919,,,50 ft,YES,YES,"37.52011216, -122.33325053",Central,UTIL,UTIL919,High
Cable Fault reported in Suburban,INCIDENT,Cable Fault,Underground cable suspected fault,37.53046011,-122.32508697,34,UTIL920,,,50 ft,YES,YES,"37.53046011, -122.32508697",Suburban,UTIL,UTIL920,Medium
Breaker Operation reported in Central,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52832116,-122.33188836,5,UTIL921,,,50 ft,YES,YES,"37.52832116, -122.33188836",Central,UTIL,UTIL921,Critical
Low Wire reported in Suburban,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52103965,-122.32934771,176,UTIL922,,,50 ft,YES,YES,"37.52103965, -122.32934771",Suburban,UTIL,UTIL922,Low
Routine Inspection reported in Suburban,INCIDENT,Routine Inspection,Scheduled maintenance check,37.5319082,-122.33453811,79,UTIL923,,,50 ft,YES,YES,"37.5319082, -122.33453811",Suburban,UTIL,UTIL923,Critical
Fuse Blown reported in Central,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.52058176,-122.33211161,107,UTIL924,,,50 ft,YES,YES,"37.52058176, -122.33211161",Central,UTIL,UTIL924,Low
Switch Malfunction reported in Uptown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52085411,-122.32648675,80,UTIL925,,,50 ft,YES,YES,"37.52085411, -122.32648675",Uptown,UTIL,UTIL925,High
Transformer Explosion reported in Central,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.526297,-122.3316794,168,UTIL926,,,50 ft,YES,YES,"37.526297, -122.3316794",Central,UTIL,UTIL926,Medium
Car Hit Pole reported in Uptown,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.53629998,-122.33900526,40,UTIL927,,,50 ft,YES,YES,"37.53629998, -122.33900526",Uptown,UTIL,UTIL927,Low
Transformer Explosion reported in Central,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.53448871,-122.33589572,147,UTIL928,,,50 ft,YES,YES,"37.53448871, -122.33589572",Central,UTIL,UTIL928,High
Routine Inspection reported in Industrial,INCIDENT,Routine Inspection,Scheduled maintenance check,37.5338643,-122.33345112,29,UTIL929,,,50 ft,YES,YES,"37.5338643, -122.33345112",Industrial,UTIL,UTIL929,Critical
Downed Power Line reported in Uptown,INCIDENT,Downed Power Line,Live wire reported on the ground,37.52638326,-122.3374752,31,UTIL930,,,50 ft,YES,YES,"37.52638326, -122.3374752",Uptown,UTIL,UTIL930,Critical
Downed Power Line reported in Downtown,INCIDENT,Downed Power Line,Live wire reported on the ground,37.52470879,-122.32607496,96,UTIL931,,,50 ft,YES,YES,"37.52470879, -122.32607496",Downtown,UTIL,UTIL931,Low
Low Wire reported in Uptown,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52110916,-122.32143638,13,UTIL932,,,50 ft,YES,YES,"37.52110916, -122.32143638",Uptown,UTIL,UTIL932,Medium
Storm Damage reported in Suburban,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.52602626,-122.33334388,179,UTIL933,,,50 ft,YES,YES,"37.52602626, -122.33334388",Suburban,UTIL,UTIL933,Medium
Leaning Pole reported in Central,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.52071955,-122.3312603,48,UTIL934,,,50 ft,YES,YES,"37.52071955, -122.3312603",Central,UTIL,UTIL934,Medium
Fuse Blown reported in Rural,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53053178,-122.32082349,197,UTIL935,,,50 ft,YES,YES,"37.53053178, -122.32082349",Rural,UTIL,UTIL935,Critical
Routine Inspection reported in Industrial,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53830192,-122.327317,161,UTIL936,,,50 ft,YES,YES,"37.53830192, -122.327317",Industrial,UTIL,UTIL936,High
Car Hit Pole reported in Central,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.53413289,-122.33241835,67,UTIL937,,,50 ft,YES,YES,"37.53413289, -122.33241835",Central,UTIL,UTIL937,Low
Storm Damage reported in Central,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.52656444,-122.32974301,13,UTIL938,,,50 ft,YES,YES,"37.52656444, -122.32974301",Central,UTIL,UTIL938,Medium
Tree Encroachment reported in Central,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.53758219,-122.33216119,64,UTIL939,,,50 ft,YES,YES,"37.53758219, -122.33216119",Central,UTIL,UTIL939,High
Gas Leak reported in Uptown,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52542653,-122.32558442,123,UTIL940,,,50 ft,YES,YES,"37.52542653, -122.32558442",Uptown,UTIL,UTIL940,Low
Leaning Pole reported in Rural,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.52236144,-122.32605863,87,UTIL941,,,50 ft,YES,YES,"37.52236144, -122.32605863",Rural,UTIL,UTIL941,High
Gas Leak reported in Suburban,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52945247,-122.32454708,22,UTIL942,,,50 ft,YES,YES,"37.52945247, -122.32454708",Suburban,UTIL,UTIL942,Critical
Equipment Failure reported in Uptown,INCIDENT,Equipment Failure,Component failure at distribution station,37.5274611,-122.33784611,169,UTIL943,,,50 ft,YES,YES,"37.5274611, -122.33784611",Uptown,UTIL,UTIL943,Low
Switch Malfunction reported in Central,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.5250924,-122.32875133,91,UTIL944,,,50 ft,YES,YES,"37.5250924, -122.32875133",Central,UTIL,UTIL944,Medium
Leaning Pole reported in Suburban,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53815971,-122.33031192,61,UTIL945,,,50 ft,YES,YES,"37.53815971, -122.33031192",Suburban,UTIL,UTIL945,High
Routine Inspection reported in Suburban,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53071966,-122.32445634,151,UTIL946,,,50 ft,YES,YES,"37.53071966, -122.32445634",Suburban,UTIL,UTIL946,Critical
Low Wire reported in Uptown,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53488209,-122.33066674,193,UTIL947,,,50 ft,YES,YES,"37.53488209, -122.33066674",Uptown,UTIL,UTIL947,Medium
Meter Inspection reported in Uptown,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.52737726,-122.32612289,23,UTIL948,,,50 ft,YES,YES,"37.52737726, -122.32612289",Uptown,UTIL,UTIL948,Critical
Storm Damage reported in Industrial,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.53965129,-122.33959894,147,UTIL949,,,50 ft,YES,YES,"37.53965129, -122.33959894",Industrial,UTIL,UTIL949,High
Substation Fire reported in Industrial,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.53296456,-122.3338481,0,UTIL950,,,50 ft,YES,YES,"37.53296456, -122.3338481",Industrial,UTIL,UTIL950,Low
Cable Fault reported in Rural,INCIDENT,Cable Fault,Underground cable suspected fault,37.53373062,-122.32851413,178,UTIL951,,,50 ft,YES,YES,"37.53373062, -122.32851413",Rural,UTIL,UTIL951,Medium
Downed Power Line reported in Seaside,INCIDENT,Downed Power Line,Live wire reported on the ground,37.53830013,-122.32306118,90,UTIL952,,,50 ft,YES,YES,"37.53830013, -122.32306118",Seaside,UTIL,UTIL952,Low
Leaning Pole reported in Industrial,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53046916,-122.32828744,47,UTIL953,,,50 ft,YES,YES,"37.53046916, -122.32828744",Industrial,UTIL,UTIL953,Medium
Transformer Explosion reported in Seaside,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.52637369,-122.32615093,151,UTIL954,,,50 ft,YES,YES,"37.52637369, -122.32615093",Seaside,UTIL,UTIL954,High
Storm Damage reported in Seaside,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.53931347,-122.32226945,15,UTIL955,,,50 ft,YES,YES,"37.53931347, -122.32226945",Seaside,UTIL,UTIL955,High
Breaker Operation reported in Industrial,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.53765773,-122.32198738,172,UTIL956,,,50 ft,YES,YES,"37.53765773, -122.32198738",Industrial,UTIL,UTIL956,Low
Breaker Operation reported in Suburban,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52569246,-122.32193881,147,UTIL957,,,50 ft,YES,YES,"37.52569246, -122.32193881",Suburban,UTIL,UTIL957,Medium
