GD Note,TYPE,TITLE,DESCRIPTION,LATITUDE,LONGITUDE,DELAY,EXTERNALID,UUID,Desired Altitude,Alert on Map Screen,AR Marker,Coordinates for maps,AREA,CODE,INCIDENT_ID,PRIORITY
Vehicle Breakdown reported in Seaside,INCIDENT,10-50 - Vehicle Breakdown,Reported vehicle breakdown at location. Additional details unknown.,37.53712826,-122.33117922,,,,50 ft,YES,YES,"37.53712826, -122.33117922",Seaside,10-50,INC638,High
Hit-and-Run Accident reported in Uptown,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.53658352,-122.32705925,,,,50 ft,YES,YES,"37.53658352, -122.32705925",Uptown,10-23,INC639,Critical
Bridge Collapse reported in Suburban,INCIDENT,10-37 - Bridge Collapse,Reported bridge collapse at location. Additional details unknown.,37.52302827,-122.3265885,,,,50 ft,YES,YES,"37.52302827, -122.3265885",Suburban,10-37,INC640,Low
Suspicious Package reported in Central,INCIDENT,10-12 - Suspicious Package,Reported suspicious package at location. Additional details unknown.,37.52459707,-122.32554369,,,,50 ft,YES,YES,"37.52459707, -122.32554369",Central,10-12,INC641,Low
Riot or Large Protest reported in Downtown,INCIDENT,10-33 - Riot or Large Protest,Reported riot or large protest at location. Additional details unknown.,37.52697582,-122.32876817,,,,50 ft,YES,YES,"37.52697582, -122.32876817",Downtown,10-33,INC642,Critical
Avalanche Risk reported in Central,INCIDENT,10-41 - Avalanche Risk,Reported avalanche risk at location. Additional details unknown.,37.53464359,-122.32366552,,,,50 ft,YES,YES,"37.53464359, -122.32366552",Central,10-41,INC643,Medium
Earthquake Damage reported in Seaside,INCIDENT,10-45 - Earthquake Damage,Reported earthquake damage at location. Additional details unknown.,37.53614355,-122.32506249,,,,50 ft,YES,YES,"37.53614355, -122.32506249",Seaside,10-45,INC644,Critical
Road Hazard reported in Central,INCIDENT,10-21 - Road Hazard,Reported road hazard at location. Additional details unknown.,37.52696238,-122.33384541,,,,50 ft,YES,YES,"37.52696238, -122.33384541",Central,10-21,INC645,Low
Mudslide Reported reported in Seaside,INCIDENT,10-38 - Mudslide Reported,Reported mudslide reported at location. Additional details unknown.,37.53551697,-122.32888721,,,,50 ft,YES,YES,"37.53551697, -122.32888721",Seaside,10-38,INC646,Critical
Public Intoxication reported in Industrial,INCIDENT,10-25 - Public Intoxication,Reported public intoxication at location. Additional details unknown.,37.52823757,-122.33134859,,,,50 ft,YES,YES,"37.52823757, -122.33134859",Industrial,10-25,INC647,Low
Boating Accident reported in Industrial,INCIDENT,10-34 - Boating Accident,Reported boating accident at location. Additional details unknown.,37.52841401,-122.32199829,,,,50 ft,YES,YES,"37.52841401, -122.32199829",Industrial,10-34,INC648,Critical
Earthquake Damage reported in Central,INCIDENT,10-45 - Earthquake Damage,Reported earthquake damage at location. Additional details unknown.,37.52155445,-122.3287549,,,,50 ft,YES,YES,"37.52155445, -122.3287549",Central,10-45,INC649,Critical
Structure Fire reported in Central,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.52994353,-122.32555654,,,,50 ft,YES,YES,"37.52994353, -122.32555654",Central,10-07,INC650,High
Landslide Reported reported in Downtown,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.53150406,-122.3256854,,,,50 ft,YES,YES,"37.53150406, -122.3256854",Downtown,10-42,INC651,Critical
Hit-and-Run Accident reported in Downtown,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.53617788,-122.33625991,,,,50 ft,YES,YES,"37.53617788, -122.33625991",Downtown,10-23,INC652,High
Request for Backup reported in Central,INCIDENT,10-01 - Request for Backup,Reported request for backup at location. Additional details unknown.,37.53275565,-122.3239463,,,,50 ft,YES,YES,"37.53275565, -122.3239463",Central,10-01,INC653,Low
Traffic Stop - High Risk reported in Downtown,INCIDENT,10-04 - Traffic Stop - High Risk,Reported traffic stop - high risk at location. Additional details unknown.,37.52268684,-122.33749401,,,,50 ft,YES,YES,"37.52268684, -122.33749401",Downtown,10-04,INC654,Critical
Trespassing Reported reported in Uptown,INCIDENT,10-16 - Trespassing Reported,Reported trespassing reported at location. Additional details unknown.,37.52029908,-122.33791142,,,,50 ft,YES,YES,"37.52029908, -122.33791142",Uptown,10-16,INC655,High
Vehicle Pursuit reported in Industrial,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.53845065,-122.3264138,,,,50 ft,YES,YES,"37.53845065, -122.3264138",Industrial,10-22,INC656,High
Hostage Situation reported in Seaside,INCIDENT,10-05 - Hostage Situation,Reported hostage situation at location. Additional details unknown.,37.52310301,-122.33121406,,,,50 ft,YES,YES,"37.52310301, -122.33121406",Seaside,10-05,INC657,High
Noise Complaint reported in Uptown,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.52611477,-122.32627832,,,,50 ft,YES,YES,"37.52611477, -122.32627832",Uptown,10-28,INC658,Medium
Sinkhole Formation reported in Industrial,INCIDENT,10-44 - Sinkhole Formation,Reported sinkhole formation at location. Additional details unknown.,37.52452868,-122.32566585,,,,50 ft,YES,YES,"37.52452868, -122.32566585",Industrial,10-44,INC659,Medium
Public Disturbance reported in Central,INCIDENT,10-18 - Public Disturbance,Reported public disturbance at location. Additional details unknown.,37.52828328,-122.32470117,,,,50 ft,YES,YES,"37.52828328, -122.32470117",Central,10-18,INC660,High
Collapsed Building reported in Suburban,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.52013607,-122.32914412,,,,50 ft,YES,YES,"37.52013607, -122.32914412",Suburban,10-48,INC661,Low
Public Intoxication reported in Industrial,INCIDENT,10-25 - Public Intoxication,Reported public intoxication at location. Additional details unknown.,37.52056576,-122.3324989,,,,50 ft,YES,YES,"37.52056576, -122.3324989",Industrial,10-25,INC662,Low
Boating Accident reported in Suburban,INCIDENT,10-34 - Boating Accident,Reported boating accident at location. Additional details unknown.,37.52583524,-122.32677944,,,,50 ft,YES,YES,"37.52583524, -122.32677944",Suburban,10-34,INC663,Critical
Chemical Spill reported in Downtown,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.53216767,-122.32395103,,,,50 ft,YES,YES,"37.53216767, -122.32395103",Downtown,10-35,INC664,High
Burglary in Progress reported in Industrial,INCIDENT,10-02 - Burglary in Progress,Reported burglary in progress at location. Additional details unknown.,37.52016546,-122.32782752,,,,50 ft,YES,YES,"37.52016546, -122.32782752",Industrial,10-02,INC665,Medium
Cyber Crime reported in Downtown,INCIDENT,10-32 - Cyber Crime,Reported cyber crime at location. Additional details unknown.,37.53700286,-122.33077337,,,,50 ft,YES,YES,"37.53700286, -122.33077337",Downtown,10-32,INC666,Critical
Lost Child reported in Industrial,INCIDENT,10-30 - Lost Child,Reported lost child at location. Additional details unknown.,37.52659461,-122.3318951,,,,50 ft,YES,YES,"37.52659461, -122.3318951",Industrial,10-30,INC667,Critical
Vehicle Breakdown reported in Rural,INCIDENT,10-50 - Vehicle Breakdown,Reported vehicle breakdown at location. Additional details unknown.,37.53916005,-122.32603136,,,,50 ft,YES,YES,"37.53916005, -122.32603136",Rural,10-50,INC668,Medium
Burglary in Progress reported in Rural,INCIDENT,10-02 - Burglary in Progress,Reported burglary in progress at location. Additional details unknown.,37.52575672,-122.33891003,,,,50 ft,YES,YES,"37.52575672, -122.33891003",Rural,10-02,INC669,Low
Hostage Situation reported in Industrial,INCIDENT,10-05 - Hostage Situation,Reported hostage situation at location. Additional details unknown.,37.52339413,-122.33220126,,,,50 ft,YES,YES,"37.52339413, -122.33220126",Industrial,10-05,INC670,High
Traffic Stop - High Risk reported in Seaside,INCIDENT,10-04 - Traffic Stop - High Risk,Reported traffic stop - high risk at location. Additional details unknown.,37.53490465,-122.33711409,,,,50 ft,YES,YES,"37.53490465, -122.33711409",Seaside,10-04,INC671,Medium
Radiation Alert reported in Seaside,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.52511668,-122.32659326,,,,50 ft,YES,YES,"37.52511668, -122.32659326",Seaside,10-36,INC672,Medium
Gas Leak reported in Central,INCIDENT,10-08 - Gas Leak,Reported gas leak at location. Additional details unknown.,37.53683109,-122.33277019,,,,50 ft,YES,YES,"37.53683109, -122.33277019",Central,10-08,INC673,Critical
Severe Weather Alert reported in Rural,INCIDENT,10-43 - Severe Weather Alert,Reported severe weather alert at location. Additional details unknown.,37.53392069,-122.33483221,,,,50 ft,YES,YES,"37.53392069, -122.33483221",Rural,10-43,INC674,Low
Trespassing Reported reported in Industrial,INCIDENT,10-16 - Trespassing Reported,Reported trespassing reported at location. Additional details unknown.,37.53038166,-122.32105125,,,,50 ft,YES,YES,"37.53038166, -122.32105125",Industrial,10-16,INC675,High
Drug Activity Reported reported in Suburban,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.52376031,-122.33054319,,,,50 ft,YES,YES,"37.52376031, -122.33054319",Suburban,10-11,INC676,Low
Avalanche Risk reported in Downtown,INCIDENT,10-41 - Avalanche Risk,Reported avalanche risk at location. Additional details unknown.,37.52498611,-122.33029936,,,,50 ft,YES,YES,"37.52498611, -122.33029936",Downtown,10-41,INC677,Critical
Unattended Luggage reported in Industrial,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.53660959,-122.3361712,,,,50 ft,YES,YES,"37.53660959, -122.3361712",Industrial,10-26,INC678,Low
Animal Attack reported in Seaside,INCIDENT,10-20 - Animal Attack,Reported animal attack at location. Additional details unknown.,37.52725652,-122.33545143,,,,50 ft,YES,YES,"37.52725652, -122.33545143",Seaside,10-20,INC679,High
Drug Activity Reported reported in Suburban,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.52627768,-122.33875842,,,,50 ft,YES,YES,"37.52627768, -122.33875842",Suburban,10-11,INC680,Critical
Gunshots Heard reported in Central,INCIDENT,10-13 - Gunshots Heard,Reported gunshots heard at location. Additional details unknown.,37.52004404,-122.32729705,,,,50 ft,YES,YES,"37.52004404, -122.32729705",Central,10-13,INC681,High
Explosion Reported reported in Rural,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.52170634,-122.32426993,,,,50 ft,YES,YES,"37.52170634, -122.32426993",Rural,10-06,INC682,Low
Boating Accident reported in Seaside,INCIDENT,10-34 - Boating Accident,Reported boating accident at location. Additional details unknown.,37.52755864,-122.33395969,,,,50 ft,YES,YES,"37.52755864, -122.33395969",Seaside,10-34,INC683,High
Gunshots Heard reported in Seaside,INCIDENT,10-13 - Gunshots Heard,Reported gunshots heard at location. Additional details unknown.,37.52421648,-122.32940138,,,,50 ft,YES,YES,"37.52421648, -122.32940138",Seaside,10-13,INC684,Low
Earthquake Damage reported in Downtown,INCIDENT,10-45 - Earthquake Damage,Reported earthquake damage at location. Additional details unknown.,37.53057446,-122.33261697,,,,50 ft,YES,YES,"37.53057446, -122.33261697",Downtown,10-45,INC685,Medium
Medical Emergency - Minor reported in Suburban,INCIDENT,10-10 - Medical Emergency - Minor,Reported medical emergency - minor at location. Additional details unknown.,37.52377789,-122.32614876,,,,50 ft,YES,YES,"37.52377789, -122.32614876",Suburban,10-10,INC686,Critical
Chemical Spill reported in Seaside,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.52267205,-122.32280223,,,,50 ft,YES,YES,"37.52267205, -122.32280223",Seaside,10-35,INC687,Low
Severe Weather Alert reported in Industrial,INCIDENT,10-43 - Severe Weather Alert,Reported severe weather alert at location. Additional details unknown.,37.52410976,-122.32585135,,,,50 ft,YES,YES,"37.52410976, -122.32585135",Industrial,10-43,INC688,Low
Cyber Crime reported in Central,INCIDENT,10-32 - Cyber Crime,Reported cyber crime at location. Additional details unknown.,37.52478973,-122.33436613,,,,50 ft,YES,YES,"37.52478973, -122.33436613",Central,10-32,INC689,Critical
Sinkhole Formation reported in Central,INCIDENT,10-44 - Sinkhole Formation,Reported sinkhole formation at location. Additional details unknown.,37.52724946,-122.32830966,,,,50 ft,YES,YES,"37.52724946, -122.32830966",Central,10-44,INC690,Medium
Underage Drinking reported in Uptown,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.52784235,-122.32103657,,,,50 ft,YES,YES,"37.52784235, -122.32103657",Uptown,10-29,INC691,Low
Road Hazard reported in Rural,INCIDENT,10-21 - Road Hazard,Reported road hazard at location. Additional details unknown.,37.53987531,-122.32414109,,,,50 ft,YES,YES,"37.53987531, -122.32414109",Rural,10-21,INC692,Critical
Public Intoxication reported in Seaside,INCIDENT,10-25 - Public Intoxication,Reported public intoxication at location. Additional details unknown.,37.52194767,-122.33348926,,,,50 ft,YES,YES,"37.52194767, -122.33348926",Seaside,10-25,INC693,Low
Lost Child reported in Central,INCIDENT,10-30 - Lost Child,Reported lost child at location. Additional details unknown.,37.53178333,-122.33419346,,,,50 ft,YES,YES,"37.53178333, -122.33419346",Central,10-30,INC694,Medium
Trespassing Reported reported in Downtown,INCIDENT,10-16 - Trespassing Reported,Reported trespassing reported at location. Additional details unknown.,37.53269628,-122.32072181,,,,50 ft,YES,YES,"37.53269628, -122.32072181",Downtown,10-16,INC695,Medium
Explosion Reported reported in Downtown,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.53865617,-122.32377989,,,,50 ft,YES,YES,"37.53865617, -122.32377989",Downtown,10-06,INC696,Medium
Radiation Alert reported in Downtown,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.53696375,-122.32311473,,,,50 ft,YES,YES,"37.53696375, -122.32311473",Downtown,10-36,INC697,High
Street Racing Incident reported in Rural,INCIDENT,10-17 - Street Racing Incident,Reported street racing incident at location. Additional details unknown.,37.52392789,-122.33299998,,,,50 ft,YES,YES,"37.52392789, -122.33299998",Rural,10-17,INC698,Critical
Hit-and-Run Accident reported in Suburban,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.53496914,-122.33780061,,,,50 ft,YES,YES,"37.53496914, -122.33780061",Suburban,10-23,INC699,Low
Radiation Alert reported in Downtown,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.53626166,-122.33755277,,,,50 ft,YES,YES,"37.53626166, -122.33755277",Downtown,10-36,INC700,High
Earthquake Damage reported in Rural,INCIDENT,10-45 - Earthquake Damage,Reported earthquake damage at location. Additional details unknown.,37.52389552,-122.33472475,,,,50 ft,YES,YES,"37.52389552, -122.33472475",Rural,10-45,INC701,High
Armed Robbery reported in Suburban,INCIDENT,10-03 - Armed Robbery,Reported armed robbery at location. Additional details unknown.,37.52700996,-122.33927851,,,,50 ft,YES,YES,"37.52700996, -122.33927851",Suburban,10-03,INC702,Critical
Burglary in Progress reported in Downtown,INCIDENT,10-02 - Burglary in Progress,Reported burglary in progress at location. Additional details unknown.,37.52488716,-122.33911545,,,,50 ft,YES,YES,"37.52488716, -122.33911545",Downtown,10-02,INC703,High
Attempted Suicide reported in Industrial,INCIDENT,10-31 - Attempted Suicide,Reported attempted suicide at location. Additional details unknown.,37.5296118,-122.3367417,,,,50 ft,YES,YES,"37.5296118, -122.3367417",Industrial,10-31,INC704,Medium
Gunshots Heard reported in Rural,INCIDENT,10-13 - Gunshots Heard,Reported gunshots heard at location. Additional details unknown.,37.52062244,-122.32047851,,,,50 ft,YES,YES,"37.52062244, -122.32047851",Rural,10-13,INC705,Critical
Domestic Dispute reported in Rural,INCIDENT,10-19 - Domestic Dispute,Reported domestic dispute at location. Additional details unknown.,37.53832069,-122.32906613,,,,50 ft,YES,YES,"37.53832069, -122.32906613",Rural,10-19,INC706,Critical
Chemical Spill reported in Downtown,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.52345358,-122.33098896,,,,50 ft,YES,YES,"37.52345358, -122.33098896",Downtown,10-35,INC707,Low
Traffic Stop - High Risk reported in Downtown,INCIDENT,10-04 - Traffic Stop - High Risk,Reported traffic stop - high risk at location. Additional details unknown.,37.52347569,-122.33655709,,,,50 ft,YES,YES,"37.52347569, -122.33655709",Downtown,10-04,INC708,High
Flooding Reported reported in Uptown,INCIDENT,10-40 - Flooding Reported,Reported flooding reported at location. Additional details unknown.,37.53104392,-122.33489584,,,,50 ft,YES,YES,"37.53104392, -122.33489584",Uptown,10-40,INC709,Low
Elevator Rescue Required reported in Suburban,INCIDENT,10-49 - Elevator Rescue Required,Reported elevator rescue required at location. Additional details unknown.,37.52770407,-122.32738263,,,,50 ft,YES,YES,"37.52770407, -122.32738263",Suburban,10-49,INC710,Low
Bridge Collapse reported in Downtown,INCIDENT,10-37 - Bridge Collapse,Reported bridge collapse at location. Additional details unknown.,37.53930774,-122.33054456,,,,50 ft,YES,YES,"37.53930774, -122.33054456",Downtown,10-37,INC711,Low
Noise Complaint reported in Seaside,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.52442758,-122.32687061,,,,50 ft,YES,YES,"37.52442758, -122.32687061",Seaside,10-28,INC712,Critical
Radiation Alert reported in Uptown,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.52865288,-122.32327945,,,,50 ft,YES,YES,"37.52865288, -122.32327945",Uptown,10-36,INC713,Medium
Collapsed Building reported in Seaside,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.52953262,-122.33602344,,,,50 ft,YES,YES,"37.52953262, -122.33602344",Seaside,10-48,INC714,Medium
Medical Emergency - Minor reported in Seaside,INCIDENT,10-10 - Medical Emergency - Minor,Reported medical emergency - minor at location. Additional details unknown.,37.52932512,-122.32008883,,,,50 ft,YES,YES,"37.52932512, -122.32008883",Seaside,10-10,INC715,Low
Drug Activity Reported reported in Downtown,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.5295866,-122.33798873,,,,50 ft,YES,YES,"37.5295866, -122.33798873",Downtown,10-11,INC716,High
Public Disturbance reported in Rural,INCIDENT,10-18 - Public Disturbance,Reported public disturbance at location. Additional details unknown.,37.53517538,-122.33996963,,,,50 ft,YES,YES,"37.53517538, -122.33996963",Rural,10-18,INC717,Medium
Vehicle Pursuit reported in Central,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.53288396,-122.33399141,,,,50 ft,YES,YES,"37.53288396, -122.33399141",Central,10-22,INC718,Medium
Hit-and-Run Accident reported in Seaside,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.52977888,-122.32478712,,,,50 ft,YES,YES,"37.52977888, -122.32478712",Seaside,10-23,INC719,High
Cyber Crime reported in Industrial,INCIDENT,10-32 - Cyber Crime,Reported cyber crime at location. Additional details unknown.,37.5371011,-122.32621125,,,,50 ft,YES,YES,"37.5371011, -122.32621125",Industrial,10-32,INC720,Medium
Radiation Alert reported in Seaside,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.53476876,-122.33388362,,,,50 ft,YES,YES,"37.53476876, -122.33388362",Seaside,10-36,INC721,Critical
Request for Backup reported in Suburban,INCIDENT,10-01 - Request for Backup,Reported request for backup at location. Additional details unknown.,37.52348004,-122.33304109,,,,50 ft,YES,YES,"37.52348004, -122.33304109",Suburban,10-01,INC722,High
Medical Emergency - Critical reported in Seaside,INCIDENT,10-09 - Medical Emergency - Critical,Reported medical emergency - critical at location. Additional details unknown.,37.53036322,-122.32323492,,,,50 ft,YES,YES,"37.53036322, -122.32323492",Seaside,10-09,INC723,Critical
Attempted Suicide reported in Suburban,INCIDENT,10-31 - Attempted Suicide,Reported attempted suicide at location. Additional details unknown.,37.52891015,-122.33552109,,,,50 ft,YES,YES,"37.52891015, -122.33552109",Suburban,10-31,INC724,Critical
Traffic Stop - High Risk reported in Rural,INCIDENT,10-04 - Traffic Stop - High Risk,Reported traffic stop - high risk at location. Additional details unknown.,37.53138122,-122.33389459,,,,50 ft,YES,YES,"37.53138122, -122.33389459",Rural,10-04,INC725,Low
Wildfire Spotted reported in Suburban,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.5236173,-122.33489021,,,,50 ft,YES,YES,"37.5236173, -122.33489021",Suburban,10-46,INC726,Low
Elevator Rescue Required reported in Central,INCIDENT,10-49 - Elevator Rescue Required,Reported elevator rescue required at location. Additional details unknown.,37.53024691,-122.3327768,,,,50 ft,YES,YES,"37.53024691, -122.3327768",Central,10-49,INC727,High
Vehicle Breakdown reported in Seaside,INCIDENT,10-50 - Vehicle Breakdown,Reported vehicle breakdown at location. Additional details unknown.,37.53706123,-122.337631,,,,50 ft,YES,YES,"37.53706123, -122.337631",Seaside,10-50,INC728,Low
Lost Child reported in Industrial,INCIDENT,10-30 - Lost Child,Reported lost child at location. Additional details unknown.,37.5350022,-122.32773025,,,,50 ft,YES,YES,"37.5350022, -122.32773025",Industrial,10-30,INC729,Medium
Medical Emergency - Critical reported in Central,INCIDENT,10-09 - Medical Emergency - Critical,Reported medical emergency - critical at location. Additional details unknown.,37.5273178,-122.33284507,,,,50 ft,YES,YES,"37.5273178, -122.33284507",Central,10-09,INC730,High
Medical Emergency - Critical reported in Central,INCIDENT,10-09 - Medical Emergency - Critical,Reported medical emergency - critical at location. Additional details unknown.,37.52306428,-122.32272987,,,,50 ft,YES,YES,"37.52306428, -122.32272987",Central,10-09,INC731,Critical
Underage Drinking reported in Rural,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.53871999,-122.33819292,,,,50 ft,YES,YES,"37.53871999, -122.33819292",Rural,10-29,INC732,Low
Trespassing Reported reported in Central,INCIDENT,10-16 - Trespassing Reported,Reported trespassing reported at location. Additional details unknown.,37.52156651,-122.33777438,,,,50 ft,YES,YES,"37.52156651, -122.33777438",Central,10-16,INC733,Medium
Flooding Reported reported in Suburban,INCIDENT,10-40 - Flooding Reported,Reported flooding reported at location. Additional details unknown.,37.53138709,-122.33689024,,,,50 ft,YES,YES,"37.53138709, -122.33689024",Suburban,10-40,INC734,Critical
Gunshots Heard reported in Industrial,INCIDENT,10-13 - Gunshots Heard,Reported gunshots heard at location. Additional details unknown.,37.52779928,-122.33560022,,,,50 ft,YES,YES,"37.52779928, -122.33560022",Industrial,10-13,INC735,Medium
Boating Accident reported in Uptown,INCIDENT,10-34 - Boating Accident,Reported boating accident at location. Additional details unknown.,37.52744592,-122.33830858,,,,50 ft,YES,YES,"37.52744592, -122.33830858",Uptown,10-34,INC736,Critical
Vehicle Pursuit reported in Downtown,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.52229674,-122.33917544,,,,50 ft,YES,YES,"37.52229674, -122.33917544",Downtown,10-22,INC737,Critical
Boating Accident reported in Downtown,INCIDENT,10-34 - Boating Accident,Reported boating accident at location. Additional details unknown.,37.53360256,-122.32215128,,,,50 ft,YES,YES,"37.53360256, -122.32215128",Downtown,10-34,INC738,Low
Request for Backup reported in Downtown,INCIDENT,10-01 - Request for Backup,Reported request for backup at location. Additional details unknown.,37.52816151,-122.32147272,,,,50 ft,YES,YES,"37.52816151, -122.32147272",Downtown,10-01,INC739,High
Landslide Reported reported in Industrial,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.53423174,-122.32433564,,,,50 ft,YES,YES,"37.53423174, -122.32433564",Industrial,10-42,INC740,Critical
Noise Complaint reported in Downtown,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.52018738,-122.33804607,,,,50 ft,YES,YES,"37.52018738, -122.33804607",Downtown,10-28,INC741,Critical
Earthquake Damage reported in Suburban,INCIDENT,10-45 - Earthquake Damage,Reported earthquake damage at location. Additional details unknown.,37.5271934,-122.32413222,,,,50 ft,YES,YES,"37.5271934, -122.32413222",Suburban,10-45,INC742,High
Hit-and-Run Accident reported in Suburban,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.52833979,-122.32464721,,,,50 ft,YES,YES,"37.52833979, -122.32464721",Suburban,10-23,INC743,Critical
Hit-and-Run Accident reported in Suburban,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.52549628,-122.3276928,,,,50 ft,YES,YES,"37.52549628, -122.3276928",Suburban,10-23,INC744,High
Drug Activity Reported reported in Uptown,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.53759302,-122.3363606,,,,50 ft,YES,YES,"37.53759302, -122.3363606",Uptown,10-11,INC745,High
Explosion Reported reported in Uptown,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.53771059,-122.32172976,,,,50 ft,YES,YES,"37.53771059, -122.32172976",Uptown,10-06,INC746,Medium
Suspicious Person reported in Rural,INCIDENT,10-27 - Suspicious Person,Reported suspicious person at location. Additional details unknown.,37.53723148,-122.33807138,,,,50 ft,YES,YES,"37.53723148, -122.33807138",Rural,10-27,INC747,Medium
Suspicious Package reported in Central,INCIDENT,10-12 - Suspicious Package,Reported suspicious package at location. Additional details unknown.,37.5304141,-122.33936278,,,,50 ft,YES,YES,"37.5304141, -122.33936278",Central,10-12,INC748,Low
Elevator Rescue Required reported in Downtown,INCIDENT,10-49 - Elevator Rescue Required,Reported elevator rescue required at location. Additional details unknown.,37.53520664,-122.33152797,,,,50 ft,YES,YES,"37.53520664, -122.33152797",Downtown,10-49,INC749,High
Landslide Reported reported in Suburban,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.5278749,-122.33785954,,,,50 ft,YES,YES,"37.5278749, -122.33785954",Suburban,10-42,INC750,Medium
Public Disturbance reported in Rural,INCIDENT,10-18 - Public Disturbance,Reported public disturbance at location. Additional details unknown.,37.53106151,-122.32191612,,,,50 ft,YES,YES,"37.53106151, -122.32191612",Rural,10-18,INC751,Medium
Domestic Dispute reported in Central,INCIDENT,10-19 - Domestic Dispute,Reported domestic dispute at location. Additional details unknown.,37.52890573,-122.32575521,,,,50 ft,YES,YES,"37.52890573, -122.32575521",Central,10-19,INC752,Medium
Chemical Spill reported in Central,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.52129307,-122.327984,,,,50 ft,YES,YES,"37.52129307, -122.327984",Central,10-35,INC753,High
Suspicious Package reported in Suburban,INCIDENT,10-12 - Suspicious Package,Reported suspicious package at location. Additional details unknown.,37.52639029,-122.33842819,,,,50 ft,YES,YES,"37.52639029, -122.33842819",Suburban,10-12,INC754,Medium
Elevator Rescue Required reported in Rural,INCIDENT,10-49 - Elevator Rescue Required,Reported elevator rescue required at location. Additional details unknown.,37.52876786,-122.33323343,,,,50 ft,YES,YES,"37.52876786, -122.33323343",Rural,10-49,INC755,Medium
Unattended Luggage reported in Uptown,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.52138961,-122.32233546,,,,50 ft,YES,YES,"37.52138961, -122.32233546",Uptown,10-26,INC756,High
Underage Drinking reported in Uptown,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.52118376,-122.32613436,,,,50 ft,YES,YES,"37.52118376, -122.32613436",Uptown,10-29,INC757,High
Vehicle Pursuit reported in Central,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.52294977,-122.33510056,,,,50 ft,YES,YES,"37.52294977, -122.33510056",Central,10-22,INC758,Medium
